"","Id","MSSubClass","MSZoning","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"419",419,50,"RL",8160,"Reg","Inside","Edwards","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","ALQ",312,444,756,"Fa","N","FuseF",756,378,1134,1,0,1,1,3,"TA",7,0,"Detchd","Unf",1,240,"P",0,0,4,2007,"WD","AdjLand",126000
"420",420,20,"RL",8450,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1968,1968,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","No","BLQ",775,281,1056,"Ex","Y","SBrkr",1056,0,1056,1,0,1,0,3,"TA",6,1,"Attchd","Unf",1,304,"Y",0,85,7,2010,"WD","Normal",142000
"421",421,90,"RM",7060,"Reg","Inside","Mitchel","Norm","Duplex","SFoyer",7,5,1997,1998,"Gable","VinylSd","VinylSd","BrkFace",200,"TA","Gd","PConc","Gd","Gd","GLQ",1309,35,1344,"Ex","Y","SBrkr",1344,0,1344,2,0,2,0,2,"TA",8,0,"Attchd","Fin",4,784,"Y",0,0,11,2008,"WD","Alloca",206300
"422",422,20,"RL",16635,"IR1","FR2","NWAmes","Norm","1Fam","1Story",6,7,1977,2000,"Gable","CemntBd","CmentBd","Stone",126,"Gd","TA","CBlock","Gd","No","ALQ",1246,356,1602,"Gd","Y","SBrkr",1602,0,1602,0,1,2,0,3,"Gd",8,1,"Attchd","Fin",2,529,"Y",240,0,6,2009,"WD","Normal",215000
"423",423,20,"RL",21750,"Reg","Inside","Mitchel","Artery","1Fam","1Story",5,5,1954,1954,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","Unf",0,988,988,"Ex","Y","FuseA",988,0,988,0,0,1,0,2,"TA",4,0,"Attchd","RFn",2,520,"N",0,0,2,2008,"WD","Normal",113000
"424",424,60,"RL",9200,"Reg","Inside","NoRidge","Norm","1Fam","2Story",8,5,1998,1998,"Gable","VinylSd","VinylSd","BrkFace",473,"Gd","TA","PConc","Gd","No","GLQ",986,484,1470,"Gd","Y","SBrkr",1470,1160,2630,1,0,2,1,4,"Gd",8,1,"Attchd","Fin",3,696,"Y",0,66,6,2008,"WD","Normal",315000
"425",425,20,"RL",9000,"Reg","Inside","NAmes","Norm","1Fam","1Story",6,5,1956,1956,"Gable","Wd Sdng","Wd Sdng","BrkFace",74,"TA","TA","CBlock","Gd","No","LwQ",616,580,1196,"Gd","Y","FuseA",1196,0,1196,1,0,1,0,2,"TA",6,1,"Attchd","RFn",1,297,"Y",0,44,5,2008,"WD","Normal",139000
"426",426,60,"RM",3378,"Reg","Inside","OldTown","Norm","1Fam","2Story",7,8,1946,1992,"Gable","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","No","Unf",0,651,651,"Gd","Y","SBrkr",707,682,1389,0,0,1,1,3,"TA",6,2,"Detchd","Unf",1,240,"P",0,0,9,2009,"WD","Normal",135000
"427",427,80,"RL",12800,"Reg","Inside","SawyerW","Norm","1Fam","SLvl",7,5,1989,1989,"Gable","Wd Sdng","Wd Sdng","BrkFace",145,"Gd","TA","PConc","Gd","Gd","GLQ",1518,0,1518,"Gd","Y","SBrkr",1644,0,1644,1,1,2,0,2,"Gd",5,1,"Attchd","Fin",2,569,"Y",80,0,8,2009,"WD","Normal",275000
"428",428,20,"RL",8593,"IR1","Inside","NAmes","Norm","1Fam","1Story",4,6,1957,1957,"Hip","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","No","Rec",288,619,907,"Ex","Y","SBrkr",907,0,907,0,0,1,0,3,"TA",5,0,"Detchd","Unf",1,352,"Y",0,0,7,2008,"WD","Normal",109008
"429",429,20,"RL",6762,"Reg","Inside","CollgCr","Norm","1Fam","1Story",7,5,2007,2007,"Gable","VinylSd","VinylSd","BrkFace",108,"Gd","TA","PConc","Gd","No","GLQ",664,544,1208,"Ex","Y","SBrkr",1208,0,1208,1,0,2,0,2,"Gd",6,0,"Attchd","RFn",2,628,"Y",105,54,9,2007,"New","Partial",195400
"430",430,20,"RL",11457,"IR1","Corner","Timber","Norm","1Fam","1Story",6,5,1988,1988,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","Mn","GLQ",1005,387,1392,"TA","Y","SBrkr",1412,0,1412,1,0,2,0,3,"Gd",6,1,"Attchd","Unf",2,576,"Y",0,0,3,2009,"WD","Normal",175000
"431",431,160,"RM",1680,"Reg","Inside","BrDale","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","HdBoard","HdBoard","BrkFace",232,"TA","TA","CBlock","TA","No","ALQ",387,96,483,"TA","Y","SBrkr",483,504,987,0,0,1,1,2,"TA",4,0,"Detchd","Unf",1,264,"Y",0,0,7,2008,"COD","Abnorml",85400
"432",432,50,"RM",5586,"IR1","Inside","OldTown","Feedr","1Fam","1.5Fin",6,7,1920,1998,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",0,901,901,"Gd","Y","SBrkr",1088,110,1198,0,0,1,0,4,"TA",7,0,"Attchd","Unf",0,0,"N",0,98,9,2008,"ConLD","Abnorml",79900
"433",433,160,"RM",1920,"Reg","Inside","BrDale","Norm","TwnhsE","2Story",5,5,1971,1971,"Gable","HdBoard","HdBoard","BrkFace",376,"TA","TA","CBlock","TA","No","ALQ",471,294,765,"Ex","Y","SBrkr",765,600,1365,1,0,1,1,2,"TA",6,0,"Detchd","Unf",2,440,"Y",240,36,8,2007,"WD","Normal",122500
"434",434,60,"RL",10839,"IR1","Corner","Gilbert","Norm","1Fam","2Story",6,5,1997,1998,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","No","Unf",0,926,926,"Ex","Y","SBrkr",926,678,1604,0,0,2,1,3,"TA",7,1,"Attchd","Fin",2,470,"Y",0,36,7,2008,"WD","Normal",181000
"435",435,180,"RM",1890,"Reg","Inside","MeadowV","Norm","Twnhs","SFoyer",4,7,1972,1972,"Gable","CemntBd","CmentBd","None",0,"TA","Gd","CBlock","Gd","Av","ALQ",495,135,630,"Gd","Y","SBrkr",630,0,630,1,0,1,0,1,"TA",3,0,"Attchd","Unf",0,0,"Y",88,0,6,2008,"WD","Normal",81000
"436",436,60,"RL",10667,"IR2","CulDSac","CollgCr","PosN","1Fam","2Story",7,6,1996,1996,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Av","GLQ",385,70,799,"Ex","Y","SBrkr",827,834,1661,1,0,2,1,3,"Gd",6,1,"Attchd","RFn",2,550,"Y",158,61,4,2009,"ConLw","Normal",212000
"437",437,50,"RM",4400,"Reg","Inside","OldTown","Norm","1Fam","1.5Fin",6,8,1920,1950,"Gable","Stucco","Stucco","None",0,"TA","TA","BrkTil","Fa","No","Unf",0,648,648,"TA","Y","FuseA",734,384,1118,0,0,1,0,2,"TA",6,0,"Detchd","Unf",2,440,"Y",0,0,10,2006,"WD","Normal",116000
"438",438,45,"RM",6000,"Reg","Inside","BrkSide","Norm","1Fam","1.5Unf",6,7,1926,2004,"Gable","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","TA","No","Unf",0,884,884,"Gd","Y","SBrkr",904,0,904,0,0,1,0,2,"TA",4,0,"Detchd","Unf",1,180,"Y",0,0,1,2009,"WD","Normal",119000
"439",439,30,"RL",4280,"Reg","Inside","Crawfor","Norm","1Fam","1Story",5,6,1913,2002,"Gable","WdShing","Stucco","None",0,"TA","TA","PConc","TA","No","LwQ",365,75,440,"TA","N","SBrkr",694,0,694,0,0,1,0,2,"Gd",4,1,"Detchd","Unf",1,352,"P",0,0,3,2007,"WD","Normal",90350
"440",440,50,"RL",12354,"Reg","Corner","Edwards","Norm","1Fam","1.5Fin",6,8,1920,2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","Mn","Unf",0,684,684,"Gd","Y","SBrkr",684,512,1196,0,0,1,0,3,"Gd",7,0,"Detchd","Unf",2,528,"Y",0,46,8,2009,"ConLI","Normal",110000
"441",441,20,"RL",15431,"Reg","Inside","NridgHt","Norm","1Fam","1Story",10,5,2008,2008,"Hip","VinylSd","VinylSd","Stone",200,"Ex","TA","PConc","Ex","Gd","GLQ",1767,788,3094,"Ex","Y","SBrkr",2402,0,2402,1,0,2,0,2,"Ex",10,2,"Attchd","Fin",3,672,"Y",0,72,4,2009,"WD","Normal",555000
"442",442,90,"RL",12108,"Reg","Inside","Edwards","Norm","Duplex","1Story",4,4,1955,1955,"Gable","VinylSd","VinylSd","BrkFace",270,"TA","TA","CBlock","TA","No","ALQ",133,1307,1440,"TA","N","FuseF",1440,0,1440,0,0,2,0,4,"Fa",8,0,"Attchd","Unf",0,0,"Y",0,0,9,2008,"WD","Normal",118000
"443",443,50,"RM",6240,"Reg","Inside","BrkSide","Norm","1Fam","1.5Fin",5,7,1930,1992,"Gable","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","No","Unf",0,1078,1078,"TA","Y","SBrkr",1128,445,1573,0,0,2,0,3,"TA",8,1,"Detchd","Unf",2,360,"P",0,0,6,2008,"WD","Normal",162900
"444",444,120,"RL",3922,"Reg","Inside","Blmngtn","Norm","TwnhsE","1Story",7,5,2006,2007,"Gable","WdShing","Wd Shng","BrkFace",72,"Gd","TA","PConc","Ex","Av","Unf",0,1258,1258,"Ex","Y","SBrkr",1258,0,1258,0,0,2,0,2,"Gd",6,1,"Attchd","Fin",3,648,"Y",144,16,6,2007,"New","Partial",172500
"445",445,60,"RL",8750,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","No","GLQ",642,273,915,"Ex","Y","SBrkr",933,975,1908,1,0,2,1,4,"Gd",8,1,"Attchd","Unf",2,493,"Y",144,133,7,2008,"WD","Normal",210000
"446",446,20,"RL",9855,"Reg","Corner","Edwards","Norm","1Fam","1Story",6,5,1956,1956,"Hip","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","No","Unf",0,1436,1436,"Fa","Y","SBrkr",1689,0,1689,0,0,1,0,3,"TA",7,1,"Attchd","Unf",2,480,"Y",0,0,11,2009,"COD","Normal",127500
"447",447,20,"RL",16492,"IR1","Corner","NAmes","PosA","1Fam","1Story",6,6,1966,2002,"Gable","BrkFace","Plywood","None",0,"Gd","TA","CBlock","TA","No","ALQ",247,557,1517,"Ex","Y","SBrkr",1888,0,1888,0,0,2,1,2,"Gd",6,1,"Attchd","Fin",2,578,"Y",0,0,6,2010,"WD","Normal",190000
"448",448,60,"RL",11214,"IR1","Corner","Gilbert","Norm","1Fam","2Story",7,5,1998,1999,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","No","Unf",0,930,930,"Gd","Y","SBrkr",956,930,1886,0,0,2,1,4,"Gd",10,1,"Attchd","Fin",2,431,"Y",89,0,7,2006,"WD","Normal",199900
"449",449,50,"RM",8600,"Reg","Inside","IDOTRR","Norm","1Fam","1.5Fin",6,6,1937,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",0,780,780,"TA","Y","SBrkr",780,596,1376,0,0,2,0,3,"TA",7,1,"Detchd","Unf",1,198,"N",0,0,6,2006,"WD","Normal",119500
"450",450,50,"RM",6000,"Reg","Inside","OldTown","Norm","1Fam","1.5Fin",3,7,1948,2002,"Gable","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","No","ALQ",331,318,649,"Ex","Y","SBrkr",679,504,1183,0,0,1,1,2,"TA",6,0,"Detchd","Unf",1,308,"Y",0,176,6,2007,"WD","Normal",120000
"451",451,30,"RM",5684,"Reg","Inside","OldTown","Norm","1Fam","1Story",6,8,1930,2005,"Hip","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","No","Unf",0,813,813,"Ex","Y","FuseA",813,0,813,0,0,1,0,2,"Gd",5,0,"Detchd","Unf",1,270,"N",0,113,6,2006,"WD","Normal",110000
"452",452,20,"RL",70761,"IR1","Inside","ClearCr","Norm","1Fam","1Story",7,5,1975,1975,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","Gd","ALQ",655,878,1533,"TA","Y","SBrkr",1533,0,1533,1,0,2,0,2,"Gd",5,2,"Attchd","Unf",2,576,"Y",200,54,12,2006,"WD","Normal",280000
"453",453,60,"RL",9303,"IR1","Corner","Timber","Norm","1Fam","2Story",6,5,1996,1997,"Hip","VinylSd","VinylSd","BrkFace",42,"Gd","TA","PConc","Ex","No","ALQ",742,130,872,"Ex","Y","SBrkr",888,868,1756,1,0,2,1,3,"TA",7,0,"Attchd","Fin",2,422,"Y",144,122,7,2007,"WD","Normal",204000
"454",454,60,"FV",9000,"Reg","Inside","Somerst","Norm","1Fam","2Story",8,5,2008,2008,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","No","Unf",0,768,768,"Ex","Y","SBrkr",786,804,1590,0,0,2,1,3,"Gd",6,0,"Attchd","RFn",2,676,"Y",0,30,6,2009,"WD","Normal",210000
"455",455,90,"RL",9297,"Reg","Inside","Mitchel","Norm","Duplex","1Story",5,5,1976,1976,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","No","ALQ",1606,122,1728,"TA","Y","SBrkr",1728,0,1728,2,0,2,0,4,"TA",8,0,"Detchd","Unf",2,560,"Y",0,0,7,2006,"WD","Family",188000
"456",456,20,"RL",9600,"Reg","Inside","NWAmes","Norm","1Fam","1Story",7,6,1973,1973,"Hip","HdBoard","HdBoard","BrkFace",320,"TA","TA","CBlock","TA","No","ALQ",916,326,1242,"Fa","Y","SBrkr",1242,0,1242,0,0,1,1,3,"TA",6,1,"Attchd","Unf",2,528,"Y",0,0,9,2007,"WD","Normal",175500
"457",457,70,"RM",4571,"Reg","Inside","OldTown","Norm","1Fam","2Story",5,5,1916,1950,"Gable","AsbShng","AsbShng","None",0,"TA","TA","BrkTil","TA","No","Unf",0,624,624,"Fa","N","SBrkr",624,720,1344,0,0,1,0,4,"TA",7,0,"Detchd","Unf",3,513,"Y",0,0,5,2008,"COD","Abnorml",98000
"458",458,20,"RL",53227,"IR1","CulDSac","ClearCr","Norm","1Fam","1Story",4,6,1954,1994,"Flat","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","Gd","BLQ",1116,248,1364,"Ex","Y","SBrkr",1663,0,1663,1,0,1,0,2,"Gd",6,2,"Attchd","Fin",2,529,"Y",224,137,3,2008,"WD","Normal",256000
"459",459,70,"RM",5100,"Reg","Inside","OldTown","Norm","1Fam","2Story",8,7,1925,1996,"Hip","Stucco","Wd Shng","None",0,"TA","Gd","PConc","TA","No","Unf",0,588,588,"Fa","Y","SBrkr",833,833,1666,0,0,1,0,3,"Gd",7,1,"Detchd","Unf",1,228,"Y",192,63,6,2008,"WD","Normal",161000
"460",460,50,"RL",7015,"IR1","Corner","BrkSide","Norm","1Fam","1.5Fin",5,4,1950,1950,"Gable","MetalSd","MetalSd","BrkCmn",161,"TA","TA","CBlock","TA","No","LwQ",185,524,709,"TA","Y","SBrkr",979,224,1203,1,0,1,0,3,"Gd",5,1,"Detchd","Unf",1,352,"Y",0,0,7,2009,"WD","Normal",110000
"461",461,60,"FV",8004,"IR1","Inside","Somerst","RRAn","1Fam","2Story",8,5,2009,2009,"Gable","VinylSd","VinylSd","Stone",110,"Gd","TA","PConc","Gd","No","GLQ",544,288,832,"Ex","Y","SBrkr",832,1103,1935,1,0,2,1,3,"TA",8,0,"BuiltIn","Fin",2,552,"Y",0,150,12,2009,"New","Partial",263435
"462",462,70,"RL",7200,"Reg","Inside","SWISU","Feedr","1Fam","2Story",7,9,1936,2007,"Gable","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","PConc","Gd","No","ALQ",350,0,560,"Ex","Y","SBrkr",575,560,1135,1,0,1,0,3,"Gd",6,0,"Detchd","RFn",2,576,"Y",256,0,4,2009,"WD","Normal",155000
"463",463,20,"RL",8281,"IR1","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","No","Rec",553,0,864,"Gd","Y","SBrkr",864,0,864,0,0,1,0,3,"TA",5,1,"Detchd","Unf",1,360,"Y",0,0,12,2009,"WD","Normal",62383
"464",464,70,"RL",11988,"IR1","Inside","Crawfor","Norm","1Fam","2Story",6,7,1934,1995,"Hip","Stucco","Stucco","None",0,"TA","TA","CBlock","TA","No","LwQ",326,389,715,"Fa","Y","FuseA",849,811,1660,0,0,1,1,3,"TA",6,1,"Detchd","Unf",1,240,"Y",0,0,8,2008,"WD","Normal",188700
"465",465,20,"RL",8430,"Reg","Inside","CollgCr","Norm","1Fam","1Story",5,5,1978,1978,"Gable","HdBoard","HdBoard","BrkFace",136,"TA","TA","CBlock","Gd","No","Rec",616,424,1040,"TA","Y","SBrkr",1040,0,1040,0,0,2,0,3,"TA",5,0,"Attchd","Unf",0,0,"Y",0,0,8,2009,"WD","Normal",124000
"466",466,120,"RM",3072,"Reg","Inside","Blmngtn","Norm","TwnhsE","1Story",7,5,2004,2004,"Hip","VinylSd","VinylSd","BrkFace",18,"Gd","TA","PConc","Gd","No","Unf",0,1375,1375,"Ex","Y","SBrkr",1414,0,1414,0,0,2,0,2,"Gd",6,1,"Attchd","Fin",2,398,"Y",144,20,5,2006,"WD","Normal",178740
"467",467,20,"RL",10628,"Reg","Inside","NAmes","Norm","1Fam","1Story",7,5,1970,1970,"Flat","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","Gd","GLQ",778,499,1277,"TA","Y","SBrkr",1277,0,1277,1,0,1,0,2,"TA",5,1,"Attchd","Unf",2,526,"Y",0,0,4,2007,"WD","Normal",167000
"468",468,70,"RL",9480,"Reg","Inside","NAmes","Artery","1Fam","2Story",5,7,1942,1995,"Gable","MetalSd","MetalSd","Stone",224,"TA","TA","CBlock","TA","No","LwQ",386,342,728,"Ex","Y","SBrkr",888,756,1644,0,0,1,1,3,"Gd",7,2,"Attchd","Unf",1,312,"Y",168,0,6,2007,"WD","Normal",146500
"469",469,20,"RL",11428,"IR1","Inside","NridgHt","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","Stone",248,"Gd","TA","PConc","Gd","No","Unf",0,1626,1626,"Ex","Y","SBrkr",1634,0,1634,0,0,2,0,3,"Gd",7,1,"Attchd","RFn",3,866,"Y",0,44,5,2007,"WD","Normal",250000
"470",470,60,"RL",9291,"IR1","Corner","SawyerW","RRNe","1Fam","2Story",6,5,1993,1993,"Gable","HdBoard","HdBoard","BrkFace",120,"Gd","TA","PConc","Gd","No","GLQ",426,406,832,"Ex","Y","SBrkr",832,878,1710,0,0,2,1,3,"Gd",7,0,"Attchd","RFn",2,506,"Y",144,70,6,2008,"WD","Normal",187000
"471",471,120,"RL",6820,"IR1","Corner","StoneBr","Norm","TwnhsE","1Story",8,5,1985,1985,"Gable","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","Av","GLQ",368,0,1488,"TA","Y","SBrkr",1502,0,1502,1,0,1,1,1,"Gd",4,0,"Attchd","RFn",2,528,"Y",0,54,6,2010,"WD","Normal",212000
"472",472,60,"RL",11952,"Reg","Inside","NWAmes","PosA","1Fam","2Story",7,6,1977,1977,"Mansard","WdShing","Plywood","None",0,"TA","TA","CBlock","Gd","No","Unf",0,808,808,"TA","Y","SBrkr",1161,808,1969,0,0,2,1,3,"TA",8,1,"Attchd","RFn",2,534,"Y",0,0,11,2007,"WD","Normal",190000
"473",473,180,"RM",3675,"Reg","Inside","Edwards","Norm","TwnhsE","SLvl",6,5,2005,2005,"Gable","VinylSd","VinylSd","BrkFace",80,"TA","TA","PConc","Gd","Gd","GLQ",459,88,547,"Ex","Y","SBrkr",1072,0,1072,1,0,1,0,2,"TA",5,0,"Basment","RFn",2,525,"Y",0,28,6,2008,"WD","Normal",148000
"474",474,20,"RL",14977,"IR1","Inside","NridgHt","Norm","1Fam","1Story",8,5,2006,2007,"Gable","VinylSd","VinylSd","BrkFace",304,"Gd","TA","PConc","Ex","Gd","GLQ",1350,626,1976,"Ex","Y","SBrkr",1976,0,1976,1,0,2,0,2,"Gd",7,1,"Attchd","RFn",3,908,"Y",250,63,7,2007,"New","Partial",440000
"475",475,120,"RL",5330,"Reg","Inside","StoneBr","Norm","TwnhsE","1Story",8,5,2000,2000,"Gable","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","Av","GLQ",1196,298,1494,"Ex","Y","SBrkr",1652,0,1652,1,0,2,0,2,"Ex",6,0,"Attchd","RFn",2,499,"Y",96,48,8,2007,"WD","Normal",251000
"476",476,20,"RL",8480,"Reg","Corner","Sawyer","Norm","1Fam","1Story",5,6,1963,1963,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","GLQ",630,340,970,"TA","Y","SBrkr",970,0,970,1,0,1,0,2,"TA",5,0,"Detchd","Unf",2,624,"Y",0,24,7,2007,"WD","Normal",132500
"477",477,20,"RL",13125,"Reg","Inside","CollgCr","Norm","1Fam","1Story",6,5,1997,1998,"Gable","VinylSd","VinylSd","BrkFace",215,"TA","TA","PConc","Gd","Gd","GLQ",994,484,1478,"Ex","Y","SBrkr",1493,0,1493,1,0,2,0,3,"Gd",7,1,"Attchd","Fin",2,508,"Y",140,39,4,2008,"WD","Normal",208900
"478",478,60,"RL",13693,"Reg","Inside","NridgHt","Norm","1Fam","2Story",9,5,2006,2006,"Hip","VinylSd","VinylSd","BrkFace",772,"Ex","TA","PConc","Gd","Av","Unf",0,2153,2153,"Ex","Y","SBrkr",2069,574,2643,0,0,2,1,3,"Ex",9,1,"BuiltIn","Fin",3,694,"Y",414,84,3,2007,"WD","Normal",380000
"479",479,20,"RL",10637,"Reg","Inside","CollgCr","Norm","1Fam","1Story",8,5,2007,2008,"Hip","VinylSd","VinylSd","Stone",336,"Gd","TA","PConc","Ex","Gd","GLQ",1288,417,1705,"Ex","Y","SBrkr",1718,0,1718,1,0,2,0,3,"Gd",7,1,"Attchd","RFn",3,826,"Y",208,44,9,2009,"WD","Normal",297000
"480",480,30,"RM",5925,"Reg","Inside","OldTown","Norm","1Fam","1Story",4,7,1937,2000,"Hip","Stucco","Stucco","BrkCmn",435,"TA","TA","BrkTil","Fa","No","Rec",168,739,907,"TA","Y","SBrkr",1131,0,1131,0,0,1,0,2,"TA",7,0,"Detchd","Unf",2,672,"Y",0,72,3,2007,"WD","Alloca",89471
"481",481,20,"RL",16033,"IR1","FR2","NridgHt","Norm","1Fam","1Story",9,5,2004,2005,"Hip","VinylSd","VinylSd","BrkFace",378,"Gd","TA","PConc","Ex","Gd","GLQ",1261,572,1833,"Ex","Y","SBrkr",1850,0,1850,1,0,2,0,3,"Gd",8,1,"Attchd","Fin",3,772,"Y",519,112,3,2006,"WD","Normal",326000
"482",482,20,"RL",11846,"IR1","Inside","NridgHt","Norm","1Fam","1Story",9,5,2003,2004,"Hip","VinylSd","VinylSd","BrkFace",562,"Gd","TA","PConc","Ex","Gd","GLQ",1567,225,1792,"Ex","Y","SBrkr",1792,0,1792,1,0,2,0,2,"Ex",6,1,"Attchd","Fin",3,874,"Y",206,49,8,2006,"WD","Normal",374000
"483",483,70,"RM",2500,"Reg","Corner","OldTown","Norm","1Fam","2Story",7,8,1915,2005,"Gable","Stucco","Stucco","None",0,"Gd","TA","PConc","TA","No","ALQ",299,611,910,"Ex","Y","SBrkr",916,910,1826,1,0,1,1,4,"Ex",7,1,"Attchd","Unf",1,164,"Y",0,0,6,2009,"WD","Normal",155000
"484",484,120,"RM",4500,"Reg","FR2","Mitchel","Norm","Twnhs","1Story",6,5,1998,1998,"Hip","VinylSd","VinylSd","BrkFace",116,"TA","TA","PConc","Ex","No","GLQ",897,319,1216,"Ex","Y","SBrkr",1216,0,1216,1,0,2,0,2,"TA",5,0,"Attchd","Unf",2,402,"Y",0,125,5,2006,"WD","Normal",164000
"485",485,20,"RL",7758,"IR1","Corner","Sawyer","Norm","1Fam","1Story",5,7,1962,2001,"Gable","HdBoard","Plywood","None",0,"TA","Gd","CBlock","TA","No","ALQ",588,411,999,"Gd","Y","SBrkr",999,0,999,1,0,1,0,3,"Gd",6,0,"Detchd","Unf",1,264,"Y",0,132,3,2007,"WD","Normal",132500
"486",486,20,"RL",9600,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1950,2007,"Gable","MetalSd","MetalSd","None",0,"Gd","TA","CBlock","TA","No","ALQ",607,506,1113,"Gd","Y","SBrkr",1113,0,1113,0,0,1,0,3,"Gd",5,1,"Attchd","Unf",1,264,"Y",0,80,7,2009,"WD","Normal",147000
"487",487,20,"RL",10289,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1965,1965,"Hip","MetalSd","MetalSd","BrkFace",168,"TA","TA","CBlock","TA","No","ALQ",836,237,1073,"TA","Y","SBrkr",1073,0,1073,1,0,1,1,3,"TA",6,0,"Attchd","RFn",2,515,"Y",0,0,6,2007,"WD","Normal",156000
"488",488,20,"RL",12243,"IR1","Inside","NWAmes","Norm","1Fam","1Story",5,6,1971,1971,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","Av","ALQ",998,486,1484,"Gd","Y","SBrkr",1484,0,1484,0,0,2,0,3,"TA",7,1,"Attchd","Unf",2,487,"Y",224,0,2,2007,"WD","Normal",175000
"489",489,190,"RL",10800,"Reg","Corner","OldTown","Norm","2fmCon","1.5Fin",5,4,1900,1970,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","Fa","CBlock","TA","No","BLQ",664,290,954,"TA","N","FuseA",1766,648,2414,0,0,2,0,3,"TA",10,1,"Attchd","Unf",2,520,"N",142,0,5,2006,"ConLD","Normal",160000
"490",490,180,"RM",1526,"Reg","Inside","MeadowV","Norm","Twnhs","SFoyer",4,8,1970,2002,"Gable","CemntBd","CmentBd","None",0,"TA","Gd","CBlock","Gd","Av","GLQ",515,115,630,"TA","Y","SBrkr",630,0,630,1,0,1,0,1,"Gd",3,0,"Attchd","Unf",1,286,"Y",0,0,5,2009,"WD","Normal",86000
"491",491,160,"RM",2665,"Reg","Inside","MeadowV","Norm","TwnhsE","2Story",5,6,1976,1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","Mn","Unf",0,264,264,"TA","Y","SBrkr",616,688,1304,0,0,1,1,3,"TA",4,1,"BuiltIn","Fin",1,336,"Y",141,24,6,2008,"WD","Normal",115000
"492",492,50,"RL",9490,"Reg","Inside","NAmes","Artery","1Fam","1.5Fin",6,7,1941,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","No","BLQ",403,238,806,"TA","Y","FuseA",958,620,1578,1,0,1,0,3,"Fa",5,2,"Attchd","Unf",1,240,"Y",0,0,8,2006,"WD","Normal",133000
